,,1,2,3,4,5,6,7,8,9,10
time(s),distance(mm),Z(ohm),Z(ohm),Z(ohm),Z(ohm),Z(ohm),Z(ohm),Z(ohm),Z(ohm),Z(ohm),Z(ohm)
0.00 ,0.00 ,492682 ,647290,679883,682561,685052,704453,702319,686583,683001,681625
0.16 ,0.32 ,492861 ,647584,680412,682680,685283,704722,702557,686709,683196,681777
0.32 ,0.64 ,494538 ,648571,681512,683328,686007,705417,703172,687237,683747,682278
0.48 ,0.96 ,498640 ,650399,683180,684515,687245,706565,704217,688299,684716,683169
0.64 ,1.28 ,506308 ,652982,685516,686152,688912,708016,705697,689664,685879,684457
0.80 ,1.60 ,516805 ,656193,688091,688393,691180,709951,707513,691461,687692,686149
0.96 ,1.92 ,529207 ,660259,691133,691119,693768,712165,709702,693877,689744,688085
1.12 ,2.24 ,544144 ,664751,694635,693996,696767,714619,712189,696314,691921,690297
1.28 ,2.56 ,558850 ,669580,698122,697363,700223,717345,714681,699076,694335,692803
1.44 ,2.88 ,573747 ,674875,701631,700856,703557,719933,717175,702086,696645,695164
1.60 ,3.20 ,588457 ,679954,704976,704189,706998,722377,719596,704936,699047,697458
1.76 ,3.52 ,601085 ,684775,707560,707494,710360,724757,721795,707653,701503,699780
1.92 ,3.84 ,612912 ,689263,709666,710399,713166,726503,723608,710157,703651,701565
2.08 ,4.16 ,623044 ,692827,710904,712588,715559,727653,724827,712079,705255,702914
2.24 ,4.48 ,631004 ,695483,711226,714236,717165,728063,725173,713364,706168,703476
2.40 ,4.80 ,637682 ,697186,710375,714809,717921,727498,724639,713808,706160,703279
2.56 ,5.12 ,642106 ,697557,708522,714492,717670,725990,723270,713346,705288,702352
2.72 ,5.44 ,644740 ,696665,705563,712934,716381,723345,720888,712002,703447,700507
2.88 ,5.76 ,645846 ,694492,701297,710352,714083,719811,717216,709493,700623,697680
3.04 ,6.08 ,645328 ,691121,695907,706833,710585,715084,712604,706044,696797,693715
3.20 ,6.40 ,643347 ,686612,689789,701928,705867,709194,707226,701514,691801,688673
3.36 ,6.72 ,639875 ,680741,682318,696080,700318,702670,700464,695757,686019,682993
3.52 ,7.04 ,635332 ,674184,674189,689459,693551,694917,693082,689350,679248,676155
3.68 ,7.36 ,629654 ,666588,665516,681470,685858,686218,685010,681925,671636,668319
3.84 ,7.68 ,622654 ,657887,655645,672950,677753,677284,675735,673405,663358,660265
4.00 ,8.00 ,615252 ,648914,645579,663876,668501,667491,666143,664671,654590,651102
4.16 ,8.32 ,607228 ,639137,635313,653697,658644,656957,656213,655070,644882,641344
4.32 ,8.64 ,598195 ,628542,624041,643469,648757,646527,645168,644586,635107,631571
4.48 ,8.96 ,589172 ,618080,612748,632805,637795,635079,634074,634288,624676,620861
4.64 ,9.28 ,579700 ,607051,601467,621328,626561,623317,622771,623192,613645,609896
4.80 ,9.60 ,569435 ,595373,589337,610089,615540,612098,610872,611654,602830,599069
4.96 ,9.92 ,559517 ,584212,577551,598632,603570,599993,599289,600427,591514,587526
5.12 ,10.24 ,549254 ,572510,565769,586418,591658,587822,587622,588594,579688,575868
5.28 ,10.56 ,538491 ,560506,553495,574644,580126,576124,575159,576568,568488,564658
5.44 ,10.88 ,528284 ,549122,541501,562853,567730,563765,563240,565015,556720,552649
5.60 ,11.20 ,517826 ,537254,530157,550276,555653,551449,551426,552944,544718,540929
5.76 ,11.52 ,507069 ,525307,518222,538409,543962,539640,539012,540874,533357,529628
5.92 ,11.84 ,496916 ,514075,506810,526960,531665,527424,527288,529459,521632,517692
6.08 ,12.16 ,486560 ,502470,495354,515038,519814,515500,515589,517523,509866,506109
6.24 ,12.48 ,475989 ,490869,483758,503719,508453,504129,503456,505730,498762,495000
6.40 ,12.80 ,466208 ,480054,472885,492318,496454,492260,492169,494552,487292,483367
6.56 ,13.12 ,456185 ,468848,462015,480640,485105,480820,480814,482965,475942,472305
6.72 ,13.44 ,446155 ,457859,450859,469784,474050,469881,469329,471646,465316,461599
6.88 ,13.76 ,436766 ,447547,440529,458840,462540,458526,458641,460948,454281,450438
7.04 ,14.08 ,427121 ,436951,430248,447723,451765,447693,447835,449894,443471,439913
7.20 ,14.40 ,417547 ,426586,419777,437486,441346,437370,437150,439135,433355,429713
7.36 ,14.72 ,408673 ,416924,410108,427123,430499,426620,427160,428968,422912,419187
7.52 ,15.04 ,399511 ,406929,400459,416720,420317,416543,417055,418477,412786,409330
7.68 ,15.36 ,390516 ,397317,390584,407107,410510,406846,406971,408466,403290,399756
7.84 ,15.68 ,382197 ,388314,381674,397444,400585,396850,397607,399045,393491,389898
8.00 ,16.00 ,373663 ,379014,372693,387840,391246,387470,388128,389343,384078,380705
8.16 ,16.32 ,365352 ,370110,363599,378987,382089,378420,378637,380125,375210,371736
8.32 ,16.64 ,357568 ,361730,355148,369958,372684,369135,368298,371264,366066,362577
8.48 ,16.96 ,349533 ,353237,347215,361054,364068,360502,361513,362144,357341,354079
8.64 ,17.28 ,341801 ,345090,339097,352825,355501,352088,353508,353559,349112,345747
8.80 ,17.60 ,334566 ,337390,331471,344453,346821,343562,345704,345338,340599,337265
8.96 ,17.92 ,327179 ,329449,323754,336188,338856,335661,337602,336826,332548,329403
9.12 ,18.24 ,320094 ,321959,316125,328625,330942,327898,329476,328885,324902,321659
9.28 ,18.56 ,313400 ,314830,309088,320812,322979,320019,322199,321284,317033,313824
9.44 ,18.88 ,306478 ,307473,301892,313317,315788,312763,314665,313437,309633,306634
9.60 ,19.20 ,299877 ,300596,294888,306321,308567,305597,307267,306169,302568,299454
9.76 ,19.52 ,293673 ,293989,288420,299181,301289,298295,300471,299102,295299,292231
9.92 ,19.84 ,287236 ,287227,281777,292262,294585,291584,293450,291761,288516,285589
10.08 ,20.16 ,281151 ,280933,275358,285781,287853,284963,286593,285302,281971,278932
10.24 ,20.48 ,275207 ,274857,269394,279222,281120,278277,280285,279123,275279,272281
10.40 ,20.80 ,269546 ,268642,263329,272834,274940,272127,273757,272600,269037,266181
10.56 ,21.12 ,264107 ,262868,257408,267018,268718,265972,267432,266462,262970,260048
10.72 ,21.44 ,258823 ,257259,251954,260937,262543,259809,261591,260480,256828,253956
10.88 ,21.76 ,253318 ,251543,246328,255127,256871,254131,255535,254403,251122,248336
11.04 ,22.08 ,248194 ,246262,240936,249563,251116,248446,249745,248621,245549,242653
11.20 ,22.40 ,243232 ,241084,235890,244191,245421,242781,244331,243300,239872,237089
11.36 ,22.72 ,238148 ,235812,230694,238978,240199,237589,238766,236301,234642,231946
11.52 ,23.04 ,233419 ,230983,225776,233954,234888,232348,233443,233306,229491,226703
11.68 ,23.36 ,228766 ,226206,221117,228847,229668,227160,228463,229337,224239,221555
11.84 ,23.68 ,224143 ,221373,216315,223993,224871,222394,223322,224693,219408,216800
12.00 ,24.00 ,219789 ,216895,211794,219338,219959,217563,218464,220131,214616,211949
12.16 ,24.32 ,215534 ,212508,207529,214644,215167,212781,213875,215453,209783,207236
12.32 ,24.64 ,211230 ,208055,203111,210192,210755,208392,209133,210743,205324,202860
12.48 ,24.96 ,207270 ,203990,198970,205912,206213,203899,204656,206383,200900,198378
12.64 ,25.28 ,203373 ,199964,194891,201532,201849,199513,200403,201960,196442,194060
12.80 ,25.60 ,199421 ,195931,191038,197419,197787,195459,196067,197564,192349,190016
12.96 ,25.92 ,195785 ,192213,187426,193453,193615,191337,191962,193486,188208,185863
13.12 ,26.24 ,192195 ,188459,183855,189399,189599,187335,188011,189364,184136,181891
13.28 ,26.56 ,187521 ,184728,180134,185620,185862,183621,183953,185293,180374,178172
13.44 ,26.88 ,185558 ,181286,176676,181952,181976,179781,180176,181549,176583,174314
13.60 ,27.20 ,182969 ,177806,173194,178197,178275,176079,176543,177730,172817,170649
13.76 ,27.52 ,179897 ,174367,169903,174748,174779,172626,172803,173988,169352,167206
13.92 ,27.84 ,176916 ,171217,166746,171346,171322,169057,169345,170522,165820,163652
14.08 ,28.16 ,173845 ,167993,163623,167870,167985,165615,165965,166949,162334,160276
14.24 ,28.48 ,170762 ,164853,160411,164676,164782,162420,162508,163508,159115,157071
14.40 ,28.80 ,167899 ,161950,157438,161513,161447,159092,159306,160304,155828,153774
14.56 ,29.12 ,165003 ,158942,154526,158306,158313,155930,156169,156992,152607,150661
14.72 ,29.44 ,162103 ,156030,151525,155352,155339,152936,152969,153798,149634,147698
14.88 ,29.76 ,159436 ,153337,148756,152414,152237,149867,150038,150843,146588,144644
15.04 ,30.08 ,156699 ,150523,146033,149415,149347,146958,147127,147786,143632,141786
15.20 ,30.40 ,153997 ,147834,143301,146710,146565,144195,144179,144867,140895,139054
15.36 ,30.72 ,151503 ,145298,140766,143981,143699,141343,141331,142128,138078,136239
15.52 ,31.04 ,148976 ,142719,138269,141257,141040,138677,138804,139296,135368,133630
15.68 ,31.36 ,146440 ,140250,135744,138720,138459,136166,136208,136627,132843,131104
15.84 ,31.68 ,144147 ,137923,133437,136226,135847,133576,133803,134100,130249,128531
16.00 ,32.00 ,141782 ,135534,131117,133733,133419,131162,131366,131505,127696,126164
16.16 ,32.32 ,139481 ,133270,128691,131441,131067,128849,128908,129070,125560,123876
16.32 ,32.64 ,137364 ,131131,126594,129065,128668,126478,126665,126741,123272,121535
16.48 ,32.96 ,135196 ,128937,124705,126872,126470,124287,124408,124386,121074,119399
16.64 ,33.28 ,133103 ,126866,122942,124852,124328,122182,122157,122172,119008,116878
16.80 ,33.60 ,131138 ,124970,121174,122766,122149,120039,120110,120081,116891,115664
16.96 ,33.92 ,129052 ,122972,119314,120718,120170,118088,118092,117944,114922,114039
17.12 ,34.24 ,127170 ,121115,117463,118832,118226,116213,116090,115979,113079,112286
17.28 ,34.56 ,125523 ,119365,115751,116954,116300,114348,114308,114108,111217,110487
17.44 ,34.88 ,123743 ,117556,114049,115116,114555,112649,112544,112223,109526,108849
17.60 ,35.20 ,122011 ,115935,112384,113471,112858,111049,110837,110519,107982,107248
17.76 ,35.52 ,120365 ,114391,110872,111833,111205,109484,109359,108966,106462,105730
17.92 ,35.84 ,118480 ,112826,109391,110270,109740,108125,107900,107424,105133,104034
18.08 ,36.16 ,117019 ,111417,108009,108898,108340,106073,105673,106088,103233,102137
18.24 ,36.48 ,116093 ,110096,106755,107537,106314,104513,104334,103994,101657,100959
18.40 ,36.80 ,114813 ,108794,104746,105426,104759,103537,103369,102559,100677,100151
18.56 ,37.12 ,113511 ,107640,103294,104095,103724,102785,102635,101638,99952,99505.9
18.72 ,37.44 ,112229 ,105759,102370,103132,102939,102167,102066,100923,99332.7,99508.3
18.88 ,37.76 ,110930 ,104250,101633,102419,102351,101687,101567,100326,98849.2,99044
19.04 ,38.08 ,109719 ,103309,101058,101867,101831,102138,102511,99851.6,99159.9,101001
19.20 ,38.40 ,108591 ,102597,100590,101371,101751,103991,104288,100600,100907,102999
19.36 ,38.72 ,106723 ,102006,101158,102222,103513,105935,106402,102433,102753,105146
19.52 ,39.04 ,105235 ,101544,102996,104009,105510,108233,108753,104360,104876,107882
19.68 ,39.36 ,104267 ,102003,104947,106115,107785,110884,111332,106622,107413,110682
19.84 ,39.68 ,103515 ,103887,107309,108449,110249,113651,114307,109261,110061,113560
20.00 ,40.00 ,102947 ,105856,109890,111028,113130,116794,117502,112001,112995,116856
20.16 ,39.84 ,102484 ,108104,112664,114008,116261,120209,120782,115089,116266,120395
20.32 ,39.52 ,102831 ,110780,115867,117156,119443,123637,124488,118469,119559,123883
20.48 ,39.20 ,104663 ,113574,119169,120446,123041,127442,128266,121861,123107,127612
20.64 ,38.88 ,106672 ,116665,122588,124149,126821,131396,132113,125547,126962,131548
20.80 ,38.56 ,109065 ,120100,126406,127852,130581,135325,136288,129492,130738,135467
20.96 ,38.24 ,111626 ,123508,130257,131703,134729,139622,140517,133347,134745,139816
21.12 ,37.92 ,114476 ,127238,134174,135931,138946,144038,144819,137513,139037,144247
21.28 ,37.60 ,117700 ,131188,138478,140089,143154,148406,149511,141875,143236,148568
21.44 ,37.28 ,120969 ,135103,142742,144384,147760,153160,154126,146152,147696,153307
21.60 ,36.96 ,124503 ,139316,147083,149030,152394,157997,158806,150755,152385,158188
21.76 ,36.64 ,128364 ,143743,151808,153589,156998,162729,163858,155495,156927,162795
21.92 ,36.32 ,132172 ,148011,156429,158275,162024,167830,168809,160116,161760,167715
22.08 ,36.00 ,136237 ,152651,161151,163331,166989,173006,173847,165107,166774,173025
22.24 ,35.68 ,140568 ,157494,166242,168228,171918,178103,179269,170183,171691,178448
22.40 ,35.36 ,144799 ,162115,171175,173283,177262,183573,184533,175138,176886,183812
22.56 ,35.04 ,149302 ,167149,176250,178677,182602,189061,189995,180489,182238,189053
22.72 ,34.72 ,154068 ,172273,181682,183884,187871,194468,195731,185911,187398,194317
22.88 ,34.40 ,158656 ,177222,186942,189311,193601,200313,201269,191142,192918,200101
23.04 ,34.08 ,163565 ,182596,192310,195016,199201,206080,206991,196829,198564,205756
23.20 ,33.76 ,168666 ,188010,198068,200503,204852,211843,213120,202529,204058,211373
23.36 ,33.44 ,173595 ,193318,203572,206258,210928,218034,218976,208130,209898,217446
